ToDo,Name,Telefon,Adresse,Aktiv,Aktualisierung
,"Schreiber, Sven schreiber@schreiberfriends.com","(279) 987-9990 x405","Sample Street 63 , 45027 Kunzemouth",,"2018-03-16 08:36:43"
,"Rust, Andre andre.rust@intertects.com","919.410.1185 x6225",-A-,,"2018-03-16 10:56:19"
,"Jenkins, Kaya test_3@test.com","(689) 673-2310",-A-,,"2018-03-16 08:36:48"
,"Bradtke, Neva test_4@test.com","+1 (243) 504-3798",-A-,,"2018-03-16 08:36:51"
,"Wolf, Stephon test_5@test.com","1-274-219-6089 x34598",-A-,,"2018-03-16 08:36:54"
,"Von, Andres test_6@test.com","(651) 791-1213","Sample Street 50 , 44649 Felixstad",,"2018-03-16 08:37:00"
,"Hilpert, Christy test_7@test.com","(935) 719-7642 x4161","Sample Street 21 , 31849 North Ayla",,"2018-03-16 08:37:04"
,"Nitzsche, Reyes test_8@test.com","989-463-0314 x896",-A-,,"2018-03-16 08:37:06"
,"Mante, Darron test_9@test.com","349-669-0526 x6329","Sample Street 84 , 43471 East Kennedi",,"2018-03-16 08:37:09"
,"Wunsch, Gust test_10@test.com","776.556.3821 x02750",-A-,,"2018-03-16 08:37:12"
